Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
Cre06.g249750	Cre12.g530600_4532.6.p;Cre12.g530600_4532.4.p;Cre12.g530600_4532.5.p;Cre12.g530600_4532.3.p;Cre12.g530650_4532.1.p;Cre12.g530600_4532.1.p	Cre12.g530600_4532.6.p;Cre12.g530600_4532.4.p;Cre12.g530600_4532.5.p;Cre12.g530600_4532.3.p;Cre12.g530650_4532.1.p;Cre12.g530600_4532.1.p	63516|0	63516	31758	2	0|0	0.5	1	0.5	1	0.5	-0.21	317580	0	
Cre06.g249750	Cre06.g249750_4532.2.p;Cre06.g249750_4532.1.p;Cre06.g249750_4532.3.p	Cre06.g249750_4532.2.p;Cre06.g249750_4532.1.p;Cre06.g249750_4532.3.p	21352|57120	12936	6468	2	0|0	1	1	1	1	1	inf	64680	0	
Cre06.g249750	Cre02.g114600_4532.1.p	Cre02.g114600_4532.1.p	0|720	720	360	2	0|0	0.5	1	0.5	1	0.5	-0.21	3600	0	
Cre06.g254350	Cre06.g250100_4532.2.p;Cre06.g250100_4532.1.p	Cre06.g250100_4532.2.p;Cre06.g250100_4532.1.p	61616|0	61616	30808	2	0|0	0.5	1	0.5	1	0.5	-0.21	308080	0	
Cre06.g254350	Cre06.g250200_4532.3.p;Cre06.g250200_4532.2.p;Cre06.g250200_4532.1.p;Cre06.g250200_4532.4.p	Cre06.g250200_4532.3.p;Cre06.g250200_4532.2.p;Cre06.g250200_4532.1.p;Cre06.g250200_4532.4.p	24322|0	24322	12161	2	0|0	0.5	1	0.5	1	0.5	-0.21	121610	0	
Cre06.g254350	Cre06.g258800_4532.1.p	Cre06.g258800_4532.1.p	53420|0	53420	26710	2	0|0	0.5	1	0.5	1	0.5	-0.21	267100	0	
Cre06.g254350	Cre06.g263250_4532.1.p	Cre06.g263250_4532.1.p	32692|0	32692	16346	2	0|0	0.5	1	0.5	1	0.5	-0.21	163460	0	
Cre06.g254350	Cre12.g498600_4532.1.p;Cre06.g263450_4532.3.p;Cre06.g263450_4532.2.p;Cre06.g263450_4532.1.p	Cre12.g498600_4532.1.p;Cre06.g263450_4532.3.p;Cre06.g263450_4532.2.p;Cre06.g263450_4532.1.p	1124|18598	19722	9861	2	0|0	1	1	1	1	1	inf	98610	0	
Cre06.g254350	Cre06.g282800_4532.3.p;Cre06.g282800_4532.2.p;Cre06.g282800_4532.1.p	Cre06.g282800_4532.3.p;Cre06.g282800_4532.2.p;Cre06.g282800_4532.1.p	42228|0	42228	21114	2	0|0	0.5	1	0.5	1	0.5	-0.21	211140	0	
Cre06.g254350	Cre06.g307500_4532.1.p;Cre06.g307500_4532.3.p;Cre06.g307500_4532.2.p	Cre06.g307500_4532.1.p;Cre06.g307500_4532.3.p;Cre06.g307500_4532.2.p	40720|33518	8702	4351	2	0|0	1	1	1	1	1	inf	43510	0	
Cre06.g254350	Cre08.g800885_4532.1.p	Cre08.g800885_4532.1.p	41276|0	41276	20638	2	0|0	0.5	1	0.5	1	0.5	-0.21	206380	0	
Cre06.g254350	Cre09.g394200_4532.7.p;Cre09.g394200_4532.4.p;Cre09.g394200_4532.3.p;Cre09.g394200_4532.2.p;Cre09.g394200_4532.6.p;Cre09.g394200_4532.5.p;Cre09.g394200_4532.1.p	Cre09.g394200_4532.7.p;Cre09.g394200_4532.4.p;Cre09.g394200_4532.3.p;Cre09.g394200_4532.2.p;Cre09.g394200_4532.6.p;Cre09.g394200_4532.5.p;Cre09.g394200_4532.1.p	34788|0	34788	17394	2	0|0	0.5	1	0.5	1	0.5	-0.21	173940	0	
Cre06.g254350	Cre09.g396100_4532.2.p;Cre09.g396100_4532.3.p;Cre09.g396100_4532.1.p	Cre09.g396100_4532.2.p;Cre09.g396100_4532.3.p;Cre09.g396100_4532.1.p	21706|59870	16040	8020	2	0|0	1	1	1	1	1	inf	80200	0	
Cre06.g254350	Cre09.g398900_4532.2.p;Cre09.g398900_4532.1.p	Cre09.g398900_4532.2.p;Cre09.g398900_4532.1.p	37536|50124	22124	11062	2	0|0	1	1	1	1	1	inf	110620	0	
Cre06.g254350	Cre11.g467547_4532.1.p;Cre11.g467547_4532.2.p	Cre11.g467547_4532.1.p;Cre11.g467547_4532.2.p	34992|0	34992	17496	2	0|0	0.5	1	0.5	1	0.5	-0.21	174960	0	
Cre06.g254350	Cre12.g483700_4532.1.p;Cre12.g483700_4532.3.p;Cre12.g483700_4532.2.p	Cre12.g483700_4532.1.p;Cre12.g483700_4532.3.p;Cre12.g483700_4532.2.p	63342|8976	6782	3391	2	0|0	1	1	1	1	1	inf	33910	0	
Cre06.g254350	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	17552|20560	38112	19056	2	49744|0	0	0	0	0	0	#NAME?	0.77	0.4	
Cre06.g254350	Cre13.g592500_4532.1.p	Cre13.g592500_4532.1.p	23300|29018	52318	26159	2	0|0	1	1	1	1	1	inf	261590	0	
Cre06.g254350	Cre16.g651750_4532.2.p;Cre16.g651750_4532.1.p	Cre16.g651750_4532.2.p;Cre16.g651750_4532.1.p	56902|0	56902	28451	2	0|0	0.5	1	0.5	1	0.5	-0.21	284510	0	
Cre06.g254350	Cre12.g530600_4532.6.p;Cre12.g530600_4532.4.p;Cre12.g530600_4532.5.p;Cre12.g530600_4532.3.p;Cre12.g530650_4532.1.p;Cre12.g530600_4532.1.p	Cre12.g530600_4532.6.p;Cre12.g530600_4532.4.p;Cre12.g530600_4532.5.p;Cre12.g530600_4532.3.p;Cre12.g530650_4532.1.p;Cre12.g530600_4532.1.p	52302|0	52302	26151	2	0|0	0.5	1	0.5	1	0.5	-0.21	261510	0	
Cre06.g254350	Cre04.g223100_4532.1.p;Cre04.g223100_4532.3.p;Cre04.g223100_4532.2.p	Cre04.g223100_4532.1.p;Cre04.g223100_4532.3.p;Cre04.g223100_4532.2.p	0|29608	29608	14804	2	0|0	0.5	1	0.5	1	0.5	-0.21	148040	0	
Cre06.g254350	Cre16.g672300_4532.1.p	Cre16.g672300_4532.1.p	0|53020	53020	26510	2	0|0	0.5	1	0.5	1	0.5	-0.21	265100	0	
Cre06.g256800	Cre06.g258800_4532.1.p	Cre06.g258800_4532.1.p	5708|0	5708	2854	2	0|0	0.5	1	0.5	1	0.5	-0.21	28540	0	
Cre06.g256800	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	51872|57684	44020	22010	2	49744|0	0	0	0	0	0	#NAME?	0.88	0.4	
Cre06.g256850	Cre06.g258800_4532.1.p	Cre06.g258800_4532.1.p	5352|0	5352	2676	2	0|0	0.5	1	0.5	1	0.5	-0.21	26760	0	
Cre06.g256850	Cre06.g282800_4532.3.p;Cre06.g282800_4532.2.p;Cre06.g282800_4532.1.p	Cre06.g282800_4532.3.p;Cre06.g282800_4532.2.p;Cre06.g282800_4532.1.p	61878|0	61878	30939	2	0|0	0.5	1	0.5	1	0.5	-0.21	309390	0	
Cre06.g256850	Cre09.g394200_4532.7.p;Cre09.g394200_4532.4.p;Cre09.g394200_4532.3.p;Cre09.g394200_4532.2.p;Cre09.g394200_4532.6.p;Cre09.g394200_4532.5.p;Cre09.g394200_4532.1.p	Cre09.g394200_4532.7.p;Cre09.g394200_4532.4.p;Cre09.g394200_4532.3.p;Cre09.g394200_4532.2.p;Cre09.g394200_4532.6.p;Cre09.g394200_4532.5.p;Cre09.g394200_4532.1.p	45252|0	45252	22626	2	0|0	0.5	1	0.5	1	0.5	-0.21	226260	0	
Cre06.g256850	Cre10.g452800_4532.1.p	Cre10.g452800_4532.1.p	36824|0	36824	18412	2	0|0	0.5	1	0.5	1	0.5	-0.21	184120	0	
Cre06.g256850	Cre12.g549550_4532.1.p;Cre12.g542250_4532.3.p;Cre12.g542250_4532.2.p;Cre12.g542250_4532.1.p	Cre12.g549550_4532.1.p;Cre12.g542250_4532.3.p;Cre12.g542250_4532.2.p;Cre12.g542250_4532.1.p	56188|0	56188	28094	2	0|0	0.5	1	0.5	1	0.5	-0.21	280940	0	
Cre06.g256850	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	22004|0	22004	11002	2	49744|0	0	0	0	0	0	#NAME?	0.44	0.4	
Cre06.g256850	Cre13.g592500_4532.1.p	Cre13.g592500_4532.1.p	62346|0	62346	31173	2	0|0	0.5	1	0.5	1	0.5	-0.21	311730	0	
Cre06.g272200	Cre01.g010900_4532.5.p;Cre01.g010900_4532.3.p;Cre01.g010900_4532.1.p;Cre01.g010900_4532.4.p;Cre01.g010900_4532.2.p	Cre01.g010900_4532.5.p;Cre01.g010900_4532.3.p;Cre01.g010900_4532.1.p;Cre01.g010900_4532.4.p;Cre01.g010900_4532.2.p	19280|0	19280	9640	2	0|0	0.5	1	0.5	1	0.5	-0.21	96400	0	
Cre06.g272200	Cre06.g258800_4532.1.p	Cre06.g258800_4532.1.p	8888|0	8888	4444	2	0|0	0.5	1	0.5	1	0.5	-0.21	44440	0	
Cre06.g272200	Cre09.g394200_4532.7.p;Cre09.g394200_4532.4.p;Cre09.g394200_4532.3.p;Cre09.g394200_4532.2.p;Cre09.g394200_4532.6.p;Cre09.g394200_4532.5.p;Cre09.g394200_4532.1.p	Cre09.g394200_4532.7.p;Cre09.g394200_4532.4.p;Cre09.g394200_4532.3.p;Cre09.g394200_4532.2.p;Cre09.g394200_4532.6.p;Cre09.g394200_4532.5.p;Cre09.g394200_4532.1.p	52788|0	52788	26394	2	0|0	0.5	1	0.5	1	0.5	-0.21	263940	0	
Cre06.g272200	Cre12.g483700_4532.1.p;Cre12.g483700_4532.3.p;Cre12.g483700_4532.2.p	Cre12.g483700_4532.1.p;Cre12.g483700_4532.3.p;Cre12.g483700_4532.2.p	46162|0	46162	23081	2	0|0	0.5	1	0.5	1	0.5	-0.21	230810	0	
Cre06.g272200	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	30344|10736	41080	20540	2	49744|0	0	0	0	0	0	#NAME?	0.83	0.4	
Cre06.g272200	Cre12.g498600_4532.1.p;Cre06.g263450_4532.3.p;Cre06.g263450_4532.2.p;Cre06.g263450_4532.1.p	Cre12.g498600_4532.1.p;Cre06.g263450_4532.3.p;Cre06.g263450_4532.2.p;Cre06.g263450_4532.1.p	0|55652	55652	27826	2	0|0	0.5	1	0.5	1	0.5	-0.21	278260	0	
Cre06.g278150	Cre06.g285250_4532.1.p;Cre06.g284250_4532.1.p;Cre06.g283950_4532.1.p;Cre06.g285250_4532.2.p	Cre06.g285250_4532.1.p;Cre06.g284250_4532.1.p;Cre06.g283950_4532.1.p;Cre06.g285250_4532.2.p	17380|0	17380	8690	2	0|0	0.5	1	0.5	1	0.5	-0.21	86900	0	
Cre06.g278150	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	14532|26176	40708	20354	2	49744|0	0	0	0	0	0	#NAME?	0.82	0.4	
Cre06.g278150	Cre13.g592500_4532.1.p	Cre13.g592500_4532.1.p	36528|0	36528	18264	2	0|0	0.5	1	0.5	1	0.5	-0.21	182640	0	
Cre06.g278150	Cre12.g483700_4532.1.p;Cre12.g483700_4532.3.p;Cre12.g483700_4532.2.p	Cre12.g483700_4532.1.p;Cre12.g483700_4532.3.p;Cre12.g483700_4532.2.p	0|4360	4360	2180	2	0|0	0.5	1	0.5	1	0.5	-0.21	21800	0	
Cre06.g278195	Cre01.g010900_4532.5.p;Cre01.g010900_4532.3.p;Cre01.g010900_4532.1.p;Cre01.g010900_4532.4.p;Cre01.g010900_4532.2.p	Cre01.g010900_4532.5.p;Cre01.g010900_4532.3.p;Cre01.g010900_4532.1.p;Cre01.g010900_4532.4.p;Cre01.g010900_4532.2.p	48398|0	48398	24199	2	0|0	0.5	1	0.5	1	0.5	-0.21	241990	0	
Cre06.g278195	Cre02.g087950_4532.3.p;Cre02.g087950_4532.2.p;Cre02.g087950_4532.1.p	Cre02.g087950_4532.3.p;Cre02.g087950_4532.2.p;Cre02.g087950_4532.1.p	2772|0	2772	1386	2	0|0	0.5	1	0.5	1	0.5	-0.21	13860	0	
Cre06.g278195	Cre03.g190950_4532.3.p;Cre03.g190950_4532.2.p;Cre04.g216850_4532.2.p;Cre04.g216850_4532.1.p;Cre03.g190950_4532.4.p;Cre03.g190950_4532.1.p	Cre03.g190950_4532.3.p;Cre03.g190950_4532.2.p;Cre04.g216850_4532.2.p;Cre04.g216850_4532.1.p;Cre03.g190950_4532.4.p;Cre03.g190950_4532.1.p	54218|0	54218	27109	2	0|0	0.5	1	0.5	1	0.5	-0.21	271090	0	
Cre06.g278195	Cre03.g204250_4532.2.p;Cre03.g204250_4532.4.p;Cre03.g204250_4532.3.p;Cre03.g204250_4532.1.p	Cre03.g204250_4532.2.p;Cre03.g204250_4532.4.p;Cre03.g204250_4532.3.p;Cre03.g204250_4532.1.p	27771|0	27771	13885.5	2	0|0	0.5	1	0.5	1	0.5	-0.21	138855	0	
Cre06.g278195	Cre04.g223100_4532.1.p;Cre04.g223100_4532.3.p;Cre04.g223100_4532.2.p	Cre04.g223100_4532.1.p;Cre04.g223100_4532.3.p;Cre04.g223100_4532.2.p	4894|0	4894	2447	2	0|0	0.5	1	0.5	1	0.5	-0.21	24470	0	
Cre06.g278195	Cre05.g234550_4532.2.p;Cre05.g234550_4532.1.p	Cre05.g234550_4532.2.p;Cre05.g234550_4532.1.p	9054|0	9054	4527	2	0|0	0.5	1	0.5	1	0.5	-0.21	45270	0	
