Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
Cre03.g175800	Cre09.g417150_4532.2.p	Cre09.g417150_4532.2.p	2|3	5	2.50	2	1|0	0.70	0.83	0.70	0.83	0.70	0.27	5.00	0.07	
Cre03.g175800	Cre07.g328700_4532.1.p	Cre07.g328700_4532.1.p	1|0	1	0.50	2	0|0	0.00	0.00	0.00	0.00	0.00	-1.22	5.00	0.70	
Cre03.g175800	Cre02.g106600_4532.2.p	Cre02.g106600_4532.2.p	4|0	4	2.00	2	3|1	0.05	0.11	0.05	0.11	0.05	-8.45	1.00	0.58	
Cre03.g175800	Cre06.g264350_4532.1.p	Cre06.g264350_4532.1.p	3|1	4	2.00	2	3|2	0.00	0.01	0.00	0.01	0.00	-8.36	0.80	0.66	
Cre03.g175800	Cre08.g382500_4532.1.p	Cre08.g382500_4532.1.p	4|0	4	2.00	2	3|1	0.05	0.11	0.05	0.11	0.05	-8.45	1.00	0.58	
Cre03.g175800	Cre10.g459250_4532.1.p	Cre10.g459250_4532.1.p	3|0	3	1.50	2	2|1	0.07	0.15	0.07	0.15	0.07	-6.46	1.00	0.57	
Cre03.g175800	Cre05.g241350_4532.1.p	Cre05.g241350_4532.1.p	1|0	1	0.50	2	0|1	0.00	0.00	0.00	0.00	0.00	-2.66	1.00	0.70	
Cre03.g175800	Cre16.g670850_4532.1.p	Cre16.g670850_4532.1.p	1|1	2	1.00	2	2|0	0.00	0.00	0.00	0.00	0.00	-2.61	1.00	0.70	
Cre03.g175800	Cre08.g359750_4532.3.p	Cre08.g359750_4532.3.p	3|0	3	1.50	2	3|4	0.00	0.00	0.00	0.00	0.00	-15.00	0.43	0.70	
Cre03.g175800	Cre07.g325736_4532.1.p	Cre07.g325736_4532.1.p	3|1	4	2.00	2	2|1	0.07	0.15	0.07	0.15	0.07	-4.65	1.33	0.57	
Cre03.g175800	Cre09.g386650_4532.1.p	Cre09.g386650_4532.1.p	3|1	4	2.00	2	3|1	0.01	0.03	0.01	0.03	0.01	-6.35	1.00	0.63	
Cre03.g175800	Cre12.g514500_4532.1.p	Cre12.g514500_4532.1.p	3|0	3	1.50	2	3|0	0.10	0.21	0.10	0.21	0.10	-6.18	1.00	0.54	
Cre03.g175800	Cre12.g494050_4532.1.p	Cre12.g494050_4532.1.p	8|2	10	5.00	2	3|1	0.47	0.94	0.47	0.94	0.47	-4.93	2.50	0.42	
Cre03.g175800	Cre06.g278222_4532.1.p	Cre06.g278222_4532.1.p	2|2	4	2.00	2	0|0	0.96	0.96	0.96	0.96	0.96	3.32	20.00	0.01	
Cre03.g175800	Cre12.g484000_4532.3.p	Cre12.g484000_4532.3.p	1|0	1	0.50	2	1|0	0.00	0.00	0.00	0.00	0.00	-2.66	1.00	0.70	
Cre03.g175800	Cre02.g107400_4532.1.p	Cre02.g107400_4532.1.p	1|2	3	1.50	2	0|2	0.12	0.24	0.12	0.24	0.12	-2.61	1.50	0.53	
Cre03.g175800	Cre02.g091100_4532.1.p	Cre02.g091100_4532.1.p	4|2	6	3.00	2	2|0	0.47	0.70	0.47	0.70	0.47	-1.13	3.00	0.42	
Cre03.g175800	Cre05.g241950_4532.1.p	Cre05.g241950_4532.1.p	1|1	2	1.00	2	2|3	0.00	0.00	0.00	0.00	0.00	-8.36	0.40	0.70	
Cre03.g175800	Cre12.g556050_4532.2.p	Cre12.g556050_4532.2.p	4|0	4	2.00	2	2|0	0.35	0.70	0.35	0.70	0.35	-4.02	2.00	0.45	
Cre03.g175800	Cre02.g083800_4532.1.p	Cre02.g083800_4532.1.p	1|1	2	1.00	2	0|0	0.00	0.00	0.00	0.00	0.00	1.28	10.00	0.70	
Cre03.g175800	Cre12.g528750_4532.2.p	Cre12.g528750_4532.2.p	4|2	6	3.00	2	0|0	0.98	1.00	0.98	1.00	0.98	3.32	30.00	0.00	
Cre03.g175800	Cre12.g497800_4532.1.p	Cre12.g497800_4532.1.p	1|0	1	0.50	2	1|0	0.00	0.00	0.00	0.00	0.00	-2.66	1.00	0.70	
Cre03.g175800	Cre03.g145687_4532.1.p	Cre03.g145687_4532.1.p	1|0	1	0.50	2	0|0	0.00	0.00	0.00	0.00	0.00	-1.22	5.00	0.70	
Cre03.g175800	Cre08.g371566_4532.1.p	Cre08.g371566_4532.1.p	1|0	1	0.50	2	0|0	0.00	0.00	0.00	0.00	0.00	-1.22	5.00	0.70	
Cre03.g175800	Cre11.g468900_4532.1.p	Cre11.g468900_4532.1.p	2|0	2	1.00	2	1|1	0.10	0.20	0.10	0.20	0.10	-4.26	1.00	0.55	
Cre03.g175800	Cre03.g185550_4532.5.p	Cre03.g185550_4532.5.p	1|0	1	0.50	2	5|1	0.00	0.00	0.00	0.00	0.00	-12.38	0.17	0.70	
Cre03.g175800	Cre05.g244250_4532.1.p	Cre05.g244250_4532.1.p	1|0	1	0.50	2	1|0	0.00	0.00	0.00	0.00	0.00	-2.66	1.00	0.70	
Cre03.g175800	Cre06.g282500_4532.1.p	Cre06.g282500_4532.1.p	4|0	4	2.00	2	0|1	0.48	0.95	0.48	0.95	0.48	-2.66	4.00	0.42	
Cre03.g175800	Cre09.g406600_4532.2.p	Cre09.g406600_4532.2.p	1|1	2	1.00	2	2|1	0.00	0.00	0.00	0.00	0.00	-4.65	0.67	0.70	
Cre03.g175800	Cre09.g391097_4532.2.p	Cre09.g391097_4532.2.p	2|2	4	2.00	2	3|1	0.00	0.00	0.00	0.00	0.00	-4.93	1.00	0.70	
Cre03.g175800	Cre17.g719000_4532.1.p	Cre17.g719000_4532.1.p	1|1	2	1.00	2	1|1	0.00	0.00	0.00	0.00	0.00	-2.85	1.00	0.70	
